time,yoy_output,yoy_final_expenditure,yoy_capital,export,import,net export,EMP,hours,yoy_hours,link
2013Q4,5.42,5.36,5.45,,,0.08,52242.642,41.18,,https://www.gso.gov.vn/du-lieu-va-so-lieu-thong-ke/2019/07/tinh-hinh-kinh-te-xa-hoi-nam-2013/
2014Q1,4.96,5.06,3.24,,,,52593.29,38.44,,https://www.gso.gov.vn/du-lieu-va-so-lieu-thong-ke/2019/07/bao-cao-tinh-hinh-kinh-te-xa-hoi-quy-i-nam-2014/
2014Q2,5.18,5.19,5.8,,,,52709.611,40.72,,https://www.nso.gov.vn/du-lieu-va-so-lieu-thong-ke/2019/07/tinh-hinh-kinh-te-xa-hoi-6-thang-dau-nam-2014/
2014Q3,5.62,5.28,4.84,,,,52892.859,40.64,,https://www.nso.gov.vn/du-lieu-va-so-lieu-thong-ke/2019/07/tinh-hinh-kinh-te-xa-hoi-9-thang-nam-2014/
2014Q4,5.98,6.2,8.9,,,,52821.829,41.6,1.019912579,https://www.nso.gov.vn/du-lieu-va-so-lieu-thong-ke/2019/07/tinh-hinh-kinh-te-xa-hoi-nam-2014/
2015Q1,6.03,8.67,6.7,,,-4.05,52427.023,40.57,5.541103018,https://www.gso.gov.vn/du-lieu-va-so-lieu-thong-ke/2019/05/tinh-hinh-kinh-te-xa-hoi-quy-i-nam-2015/
2015Q2,6.28,8.7,6.85,,,-3.71,52529.719,40.4,-0.785854617,https://www.gso.gov.vn/en/data-and-statistics/2020/01/press-release-social-and-economic-situation-in-six-beginning-months-of-2015/
2015Q3,6.5,9.07,8.08,,,-3.43,52801.765,40.97,0.812007874,https://www.gso.gov.vn/en/data-and-statistics/2020/02/report-social-and-economic-situations-in-the-9-months-of-2015/
2015Q4,6.68,9.12,9.04,,,-8.62,52717.7,41.78,0.432692308,https://www.gso.gov.vn/en/data-and-statistics/2020/02/report-social-and-economic-situations-in-2015/
2016Q1,5.46,6.87,8.3,,,-1.49,53537.955,40.94,0.912003944,https://www.gso.gov.vn/en/data-and-statistics/2020/01/socio-economic-situation-in-the-first-quarter-of-2016/
2016Q2,5.52,6.98,5.09,,,-2.22,53462.501,40.95,1.361386139,https://www.gso.gov.vn/en/data-and-statistics/2020/01/socio-economic-situation-in-six-beginning-months-of-2016/
2016Q3,5.93,6.97,10.12,,,-1.09,53180.914,41.36,0.951916036,https://www.gso.gov.vn/en/data-and-statistics/2020/01/report-social-and-economic-situations-in-the-9-months-of-2016/
2016Q4,6.21,7.32,9.71,,,-2.16,53029.653,41.8,0.047869794,https://www.gso.gov.vn/en/data-and-statistics/2020/01/report-social-and-economic-situations-in-2016/
2017Q1,5.1,6.73,8.5,,,-4.42,53936.809,37.81,-7.645334636,"https://www.gso.gov.vn/en/data-and-statistics/2019/10/report-social-and-economic-situations-in-the-first-quarter-of-2017/#:~:text=The%20gross%20domestic%20product%20(GDP,and%20construction%20sector%20rose%204.17%25%2C"
2017Q2,5.73,7.04,9.5,,,-7.01,53686.284,40.63,-0.781440781,https://www.gso.gov.vn/en/data-and-statistics/2019/10/report-social-and-economic-situations-in-the-first-6-months-of-2017/
2017Q3,6.41,7.3,9.8,,,-7.13,53748.652,40.99,-0.894584139,https://www.gso.gov.vn/en/data-and-statistics/2019/10/report-social-and-economic-situations-9-months-of-2017/
2017Q4,6.81,7.35,9.8,,,2.01,53441.704,41.77,-0.071770335,https://www.gso.gov.vn/en/data-and-statistics/2019/10/report-social-and-economic-situations-in-2017/
2018Q1,7.38,7.13,6.46,,,1.19,53992.836,41.29,9.203914308,https://www.gso.gov.vn/en/data-and-statistics/2019/10/report-social-and-economic-situations-in-the-first-quarter-of-2018/
2018Q2,7.08,7.13,7.06,15.72,14.83,0.89,54023.352,41.29,1.624415457,https://www.gso.gov.vn/en/data-and-statistics/2019/10/report-social-and-economic-situations-in-the-second-quarter-and-6-months-of-2018/
2018Q3,6.88,7.09,7.71,15.52,14.22,1.3,54300.897,41.45,1.122224933,https://www.gso.gov.vn/en/data-and-statistics/2019/05/report-social-and-economic-situations-in-the-third-quarter-and-9-months-of-2018/
2018Q4,7.31,7.17,8.22,14.27,12.81,1.46,54530.303,42.53,1.819487671,https://www.gso.gov.vn/en/data-and-statistics/2019/05/report-social-and-economic-situations-in-the-fourth-quarter-and-the-year-of-2018/
2019Q1,6.79,7.09,6.2,6.81,8.7,-1.89,54322.59,37.73,-8.621942359,"https://www.gso.gov.vn/en/data-and-statistics/2019/05/report-social-and-economic-situations-in-the-first-quarter-of-2019/#:~:text=The%20gross%20domestic%20product%20(GDP,efficiency%20of%20the%20Government%20and"
2019Q2,6.71,7.05,7.12,7.06,7.98,-0.92,54405.382,40.81,-1.162509082,https://www.gso.gov.vn/en/data-and-statistics/2019/10/report-social-and-economic-situations-in-the-2nd-quarter-and-first-6-months-of-2019/
2019Q3,7.31,7.2,7.68,7.41,8.78,-1.37,54559.294,40.86,-1.423401689,https://www.gso.gov.vn/en/data-and-statistics/2019/10/report-social-and-economic-situation-in-the-3rd-quarter-and-the-9-months-of-2019/
