database,database_link,database_link_archive
gdp,https://nsdp.gso.gov.vn/GSO-chung/SDMXFiles/GSO/GDPVNM.xml,https://web.archive.org/web/20231004001745/https://nsdp.gso.gov.vn/GSO-chung/SDMXFiles/GSO/GDPVNM.xml
cpi,https://nsdp.gso.gov.vn/GSO-chung/SDMXFiles/GSO/CPIVNM.xml,https://web.archive.org/web/20230325152957/https://nsdp.gso.gov.vn/GSO-chung/SDMXFiles/GSO/CPIVNM.xml
gov_budget,https://ckns.mof.gov.vn/Lists/GDDSManager/Attachments/19/MoF%20GGO_Vietnam.xml,https://web.archive.org/web/20250212035856/https://ckns.mof.gov.vn/Lists/GDDSManager/Attachments/19/MoF%20GGO_Vietnam.xml
gov_debt,https://ckns.mof.gov.vn/Lists/GDDSManager/Attachments/17/MOF_CGD_Vietnam.xml,https://web.archive.org/web/20250308003631/https://ckns.mof.gov.vn/Lists/GDDSManager/Attachments/17/MOF_CGD_Vietnam.xml
interest,https://sbv.gov.vn/webcenter/ShowProperty?nodeId=/UCMServer/SBV471011//idcPrimaryFile&revision=latestreleased,https://web.archive.org/web/20240718180149/https://sbv.gov.vn/webcenter/ShowProperty?nodeId=/UCMServer/SBV471011//idcPrimaryFile&revision=latestreleased
stock,https://web.archive.org/web/20250430041202/http://ckns.mof.gov.vn/Lists/GDDSManager/Attachments/16/MOF%20SPI032025%20(1).xml,https://web.archive.org/web/20230325152957/https://nsdp.gso.gov.vn/GSO-chung/metadata/thao%202022/MOF%20SPI01.xml
bop,https://sbv.gov.vn/webcenter/ShowProperty?nodeId=/UCMServer/SBV471017//idcPrimaryFile&revision=latestreleased,https://web.archive.org/web/20240718171104/https://sbv.gov.vn/webcenter/ShowProperty?nodeId=/UCMServer/SBV471017//idcPrimaryFile&revision=latestreleased
ext_debt,https://ckns.mof.gov.vn/Lists/GDDSManager/Attachments/15/MOF_EXD%20_Vietnam.xml,https://web.archive.org/web/20240518223934/https://ckns.mof.gov.vn/Lists/GDDSManager/Attachments/15/Z_EXDVNM.xml
trade,https://nsdp.gso.gov.vn/GSO-chung/SDMXFiles/GSO/METVNM.xml,https://nsdp.gso.gov.vn/GSO-chung/SDMXFiles/GSO/METVNM.xml
exchange_rt,https://sbv.gov.vn/webcenter/ShowProperty?nodeId=/UCMServer/SBV471014//idcPrimaryFile&revision=latestreleased,https://web.archive.org/web/20240612060032/https://sbv.gov.vn/webcenter/ShowProperty?nodeId=/UCMServer/SBV471014//idcPrimaryFile&revision=latestreleased
prod_index,https://nsdp.gso.gov.vn/GSO-chung/SDMXFiles/GSO/IIPVNM.xml,https://web.archive.org/web/20230325152851/https://nsdp.gso.gov.vn/GSO-chung/SDMXFiles/GSO/IIPVNM.xml
labor,https://nsdp.gso.gov.vn/GSO-chung/SDMXFiles/GSO/LMIVNM.xml,https://web.archive.org/web/20230325152957/https://nsdp.gso.gov.vn/GSO-chung/SDMXFiles/GSO/LMIVNM.xml
ppi,https://nsdp.gso.gov.vn/GSO-chung/SDMXFiles/GSO/PPIVNM.xml,https://web.archive.org/web/20230325152830/https://nsdp.gso.gov.vn/GSO-chung/SDMXFiles/GSO/PPIVNM.xml
pop,https://nsdp.gso.gov.vn/GSO-chung/SDMXFiles/GSO/POPVNM.xml,https://web.archive.org/web/20230325152957/https://nsdp.gso.gov.vn/GSO-chung/SDMXFiles/GSO/POPVNM.xml
